日付,館,部屋,人数,予約経路,備考
8/14,本館,松,2,自社電話,リピーター 3回目
8/14,本館,竹,4,じゃらん,お子様2名 添い寝
8/14,東館,山吹,2,楽天トラベル,
8/14,東館,撫子,3,自社サイト,
8/15,本館,松,2,自社電話,
8/15,本館,竹,3,じゃらん,
8/15,本館,梅,2,楽天トラベル,
8/15,本館,桜,4,旅行会社（阪急交通）,
8/15,東館,山吹,2,自社サイト,
8/15,東館,撫子,2,じゃらん,
8/15,東館,桔梗,3,楽天トラベル,
8/16,本館,松,2,自社電話,
8/16,本館,梅,2,じゃらん,
8/16,東館,山吹,2,自社サイト,連泊2泊目
8/16,東館,桔梗,2,楽天トラベル,
8/17,本館,竹,2,自社電話,
8/17,東館,撫子,2,じゃらん,
8/18,本館,松,2,楽天トラベル,
8/18,東館,山吹,2,自社サイト,東館ご希望
8/18,東館,撫子,2,じゃらん,
8/18,東館,桔梗,2,自社電話,
8/19,本館,松,2,じゃらん,
8/19,本館,竹,2,自社電話,
8/19,東館,山吹,2,自社サイト,連泊2泊目
8/19,東館,撫子,2,じゃらん,連泊2泊目
8/19,東館,紅葉,3,楽天トラベル,
8/20,本館,松,2,自社電話,リピーター 5回目
8/20,本館,竹,4,じゃらん,
8/20,本館,梅,2,楽天トラベル,
8/20,本館,桜,2,自社サイト,記念日プラン
8/20,本館,楓,3,旅行会社（阪急交通）,
8/20,本館,藤,2,じゃらん,
8/20,東館,山吹,2,自社サイト,連泊3泊目
8/20,東館,撫子,2,じゃらん,灯籠流し見学ご希望
8/20,東館,桔梗,2,楽天トラベル,
8/20,東館,紅葉,3,自社電話,灯籠流し見学ご希望
8/20,東館,菖蒲,2,Booking.com,海外のお客様（台湾）
8/20,東館,椿,2,自社サイト,
8/21,本館,松,2,自社電話,
8/21,本館,竹,2,楽天トラベル,
8/21,本館,梅,2,じゃらん,
8/21,東館,山吹,2,自社サイト,連泊4泊目
8/21,東館,桔梗,2,自社電話,
8/21,東館,椿,2,じゃらん,
8/22,本館,松,2,じゃらん,
8/22,本館,竹,4,自社電話,
8/22,本館,梅,2,楽天トラベル,
8/22,本館,桜,2,旅行会社（阪急交通）,
8/22,東館,山吹,2,自社サイト,
8/22,東館,撫子,2,じゃらん,
8/22,東館,桔梗,3,楽天トラベル,夕食 蟹なし（甲殻類アレルギー）
8/23,本館,松,2,自社電話,
8/23,東館,山吹,2,自社サイト,連泊2泊目
8/23,東館,撫子,2,じゃらん,連泊2泊目
8/24,東館,桔梗,2,楽天トラベル,
8/25,本館,竹,2,自社電話,
8/25,東館,山吹,2,じゃらん,
