秋冬会席「山霞」原価表（1名分・税別）,,,,,,
作成 2026/7/31 山本,仕入単価は2026年7月31日時点の見積による,,,,,
区分,品目,数量,単位,仕入単価,原価,仕入先
先付,枝豆豆腐 雲丹のせ,1,人前,320,320,山田食品
八寸,秋の盛り合わせ 五種,1,人前,330,330,山田食品
造里,鮪・鯛・甘海老 三種盛,1,人前,1200,1200,城崎鮮魚
蟹,松葉蟹 茹で 半杯,0.5,杯,9800,4900,港水産
蟹,蟹刺し 脚肉,1,人前,3200,3200,港水産
蟹,蟹すき用 剥き身 150g,1.5,100g,1633,2450,港水産
焼物,甘鯛 若狭焼,1,人前,900,900,城崎鮮魚
台物,但馬牛 陶板焼 80g,1,人前,1800,1800,但馬畜産
温物,松茸土瓶蒸し,1,人前,750,750,山田食品
食事,但馬産コシヒカリ・香の物,1,人前,250,250,JAたじま
甘味,黒豆アイス・季節の果物,1,人前,300,300,山田食品
,料理原価 合計,,,,16400,
,うち蟹 小計,,,,10550,
,料理売価（1名・税別）,,,,36000,パンフレット掲載価格
,粗利（1名）,,,,19600,
,原価率,,,,45.6%,
備考,松葉蟹は11/6解禁後の想定単価。解禁前の会席は「秋の味覚膳」（別表）。,,,,,
備考,提供期間 11/6〜翌2月末。10月までは別表の秋会席を使用。,,,,,
備考,飲料・サービス料は含まない。宿泊料込プランは別途計算。,,,,,
